image,mask,label,split,class_id,class_name,subpixel,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
train/images/single_rgb_000000.png,train/masks/single_rgb_000000_mask.png,train/labels/single_rgb_000000.txt,train,1,square,G,72,70,66,64,78,76
train/images/single_rgb_000001.png,train/masks/single_rgb_000001_mask.png,train/labels/single_rgb_000001.txt,train,0,point,R,34,99,30,95,38,103
train/images/single_rgb_000002.png,train/masks/single_rgb_000002_mask.png,train/labels/single_rgb_000002.txt,train,4,line_v,G,57,51,55,31,59,71
train/images/single_rgb_000003.png,train/masks/single_rgb_000003_mask.png,train/labels/single_rgb_000003.txt,train,0,point,R,40,41,38,39,42,43
train/images/single_rgb_000004.png,train/masks/single_rgb_000004_mask.png,train/labels/single_rgb_000004.txt,train,0,point,G,74,58,71,55,77,61
train/images/single_rgb_000005.png,train/masks/single_rgb_000005_mask.png,train/labels/single_rgb_000005.txt,train,1,square,R,39,70,34,65,44,75
train/images/single_rgb_000006.png,train/masks/single_rgb_000006_mask.png,train/labels/single_rgb_000006.txt,train,2,circle,B,109,61,95,47,123,75
train/images/single_rgb_000007.png,train/masks/single_rgb_000007_mask.png,train/labels/single_rgb_000007.txt,train,3,line_h,B,100,59,84,57,116,61
train/images/single_rgb_000008.png,train/masks/single_rgb_000008_mask.png,train/labels/single_rgb_000008.txt,train,3,line_h,G,59,39,49,37,69,41
train/images/single_rgb_000009.png,train/masks/single_rgb_000009_mask.png,train/labels/single_rgb_000009.txt,train,2,circle,B,106,77,99,70,113,84
train/images/single_rgb_000010.png,train/masks/single_rgb_000010_mask.png,train/labels/single_rgb_000010.txt,train,3,line_h,R,31,95,16,93,46,97
train/images/single_rgb_000011.png,train/masks/single_rgb_000011_mask.png,train/labels/single_rgb_000011.txt,train,3,line_h,G,60,59,49,56,71,62
train/images/single_rgb_000012.png,train/masks/single_rgb_000012_mask.png,train/labels/single_rgb_000012.txt,train,3,line_h,R,39,82,9,81,69,83
train/images/single_rgb_000013.png,train/masks/single_rgb_000013_mask.png,train/labels/single_rgb_000013.txt,train,4,line_v,G,75,47,72,26,78,68
train/images/single_rgb_000014.png,train/masks/single_rgb_000014_mask.png,train/labels/single_rgb_000014.txt,train,4,line_v,G,63,43,61,30,65,56
train/images/single_rgb_000015.png,train/masks/single_rgb_000015_mask.png,train/labels/single_rgb_000015.txt,train,4,line_v,B,110,76,109,63,111,89
train/images/single_rgb_000016.png,train/masks/single_rgb_000016_mask.png,train/labels/single_rgb_000016.txt,train,3,line_h,G,75,45,58,43,92,47
train/images/single_rgb_000017.png,train/masks/single_rgb_000017_mask.png,train/labels/single_rgb_000017.txt,train,4,line_v,G,62,75,61,57,63,93
train/images/single_rgb_000018.png,train/masks/single_rgb_000018_mask.png,train/labels/single_rgb_000018.txt,train,3,line_h,R,40,57,13,55,67,59
train/images/single_rgb_000019.png,train/masks/single_rgb_000019_mask.png,train/labels/single_rgb_000019.txt,train,4,line_v,G,66,89,64,70,68,108
train/images/single_rgb_000020.png,train/masks/single_rgb_000020_mask.png,train/labels/single_rgb_000020.txt,train,0,point,R,20,55,17,52,23,58
train/images/single_rgb_000021.png,train/masks/single_rgb_000021_mask.png,train/labels/single_rgb_000021.txt,train,4,line_v,G,67,51,65,35,69,67
train/images/single_rgb_000022.png,train/masks/single_rgb_000022_mask.png,train/labels/single_rgb_000022.txt,train,3,line_h,G,63,99,48,96,78,102
train/images/single_rgb_000023.png,train/masks/single_rgb_000023_mask.png,train/labels/single_rgb_000023.txt,train,2,circle,R,25,85,15,75,35,95
train/images/single_rgb_000024.png,train/masks/single_rgb_000024_mask.png,train/labels/single_rgb_000024.txt,train,1,square,G,71,30,62,21,80,39
train/images/single_rgb_000025.png,train/masks/single_rgb_000025_mask.png,train/labels/single_rgb_000025.txt,train,0,point,B,112,41,110,39,114,43
train/images/single_rgb_000026.png,train/masks/single_rgb_000026_mask.png,train/labels/single_rgb_000026.txt,train,1,square,B,102,97,95,90,109,104
train/images/single_rgb_000027.png,train/masks/single_rgb_000027_mask.png,train/labels/single_rgb_000027.txt,train,2,circle,G,67,82,59,74,75,90
train/images/single_rgb_000028.png,train/masks/single_rgb_000028_mask.png,train/labels/single_rgb_000028.txt,train,1,square,R,35,67,28,60,42,74
train/images/single_rgb_000029.png,train/masks/single_rgb_000029_mask.png,train/labels/single_rgb_000029.txt,train,2,circle,R,39,86,29,76,49,96
train/images/single_rgb_000030.png,train/masks/single_rgb_000030_mask.png,train/labels/single_rgb_000030.txt,train,4,line_v,B,97,77,96,47,98,107
train/images/single_rgb_000031.png,train/masks/single_rgb_000031_mask.png,train/labels/single_rgb_000031.txt,train,0,point,B,93,34,91,32,95,36
train/images/single_rgb_000032.png,train/masks/single_rgb_000032_mask.png,train/labels/single_rgb_000032.txt,train,2,circle,G,67,46,53,32,81,60
train/images/single_rgb_000033.png,train/masks/single_rgb_000033_mask.png,train/labels/single_rgb_000033.txt,train,4,line_v,G,70,63,67,46,73,80
train/images/single_rgb_000034.png,train/masks/single_rgb_000034_mask.png,train/labels/single_rgb_000034.txt,train,3,line_h,G,67,74,57,73,77,75
train/images/single_rgb_000035.png,train/masks/single_rgb_000035_mask.png,train/labels/single_rgb_000035.txt,train,1,square,R,23,99,19,95,27,103
train/images/single_rgb_000036.png,train/masks/single_rgb_000036_mask.png,train/labels/single_rgb_000036.txt,train,4,line_v,R,40,62,39,35,41,89
train/images/single_rgb_000037.png,train/masks/single_rgb_000037_mask.png,train/labels/single_rgb_000037.txt,train,4,line_v,G,60,83,59,72,61,94
train/images/single_rgb_000038.png,train/masks/single_rgb_000038_mask.png,train/labels/single_rgb_000038.txt,train,4,line_v,G,72,80,69,61,75,99
train/images/single_rgb_000039.png,train/masks/single_rgb_000039_mask.png,train/labels/single_rgb_000039.txt,train,0,point,G,59,48,56,45,62,51
train/images/single_rgb_000040.png,train/masks/single_rgb_000040_mask.png,train/labels/single_rgb_000040.txt,train,2,circle,G,59,73,49,63,69,83
train/images/single_rgb_000041.png,train/masks/single_rgb_000041_mask.png,train/labels/single_rgb_000041.txt,train,2,circle,G,60,46,46,32,74,60
train/images/single_rgb_000042.png,train/masks/single_rgb_000042_mask.png,train/labels/single_rgb_000042.txt,train,1,square,G,62,72,55,65,69,79
train/images/single_rgb_000043.png,train/masks/single_rgb_000043_mask.png,train/labels/single_rgb_000043.txt,train,1,square,B,109,50,103,44,115,56
train/images/single_rgb_000044.png,train/masks/single_rgb_000044_mask.png,train/labels/single_rgb_000044.txt,train,4,line_v,G,61,67,58,55,64,79
train/images/single_rgb_000045.png,train/masks/single_rgb_000045_mask.png,train/labels/single_rgb_000045.txt,train,1,square,R,28,42,22,36,34,48
train/images/single_rgb_000046.png,train/masks/single_rgb_000046_mask.png,train/labels/single_rgb_000046.txt,train,4,line_v,R,24,73,22,45,26,101
train/images/single_rgb_000047.png,train/masks/single_rgb_000047_mask.png,train/labels/single_rgb_000047.txt,train,1,square,R,26,67,21,62,31,72
train/images/single_rgb_000048.png,train/masks/single_rgb_000048_mask.png,train/labels/single_rgb_000048.txt,train,0,point,B,96,44,92,40,100,48
train/images/single_rgb_000049.png,train/masks/single_rgb_000049_mask.png,train/labels/single_rgb_000049.txt,train,4,line_v,B,94,44,91,23,97,65
train/images/single_rgb_000050.png,train/masks/single_rgb_000050_mask.png,train/labels/single_rgb_000050.txt,train,1,square,G,60,92,55,87,65,97
train/images/single_rgb_000051.png,train/masks/single_rgb_000051_mask.png,train/labels/single_rgb_000051.txt,train,3,line_h,R,20,99,10,97,30,101
train/images/single_rgb_000052.png,train/masks/single_rgb_000052_mask.png,train/labels/single_rgb_000052.txt,train,1,square,R,38,86,32,80,44,92
train/images/single_rgb_000053.png,train/masks/single_rgb_000053_mask.png,train/labels/single_rgb_000053.txt,train,3,line_h,B,106,52,93,50,119,54
train/images/single_rgb_000054.png,train/masks/single_rgb_000054_mask.png,train/labels/single_rgb_000054.txt,train,3,line_h,R,22,67,13,66,31,68
train/images/single_rgb_000055.png,train/masks/single_rgb_000055_mask.png,train/labels/single_rgb_000055.txt,train,2,circle,B,99,47,92,40,106,54
train/images/single_rgb_000056.png,train/masks/single_rgb_000056_mask.png,train/labels/single_rgb_000056.txt,train,4,line_v,G,76,90,73,63,79,117
